"g1_geneID","g1_chr","g1_start","g1_end","g1_width","g1_strand","g1_geneType","g1_geneName","cor_r","g2_geneID","g2_chr","g2_start","g2_end","g2_width","g2_strand","g2_geneType","g2_geneName","distance","transcript","NEAT1_r","NEAT1_perct"
"ENSG00000090861.17","chr16",70251983,70289707,37725,"-","protein_coding","AARS1",-0.624282074196077,"ENSG00000198373.13","chr16",69762328,69941741,179414,"+","protein_coding","WWP2",347966,"AARS1_chr16_70251983_70289707_-_ENSG00000090861.17_ENSG00000090861.17.unspliced",0.445953200327676,79.4093519278097
"ENSG00000090861.17","chr16",70251983,70289707,37725,"-","protein_coding","AARS1",-0.421436185348617,"ENSG00000157322.18","chr16",69950705,69964452,13748,"+","protein_coding","CLEC18A",325255,"AARS1_chr16_70251983_70289707_-_ENSG00000090861.17_ENSG00000090861.17.unspliced",0.445953200327676,79.4093519278097
"ENSG00000090861.17","chr16",70251983,70289707,37725,"-","protein_coding","AARS1",-0.307362422828506,"ENSG00000157335.21","chr16",70173322,70187361,14040,"+","protein_coding","CLEC18C",102346,"AARS1_chr16_70251983_70289707_-_ENSG00000090861.17_ENSG00000090861.17.unspliced",0.445953200327676,79.4093519278097
"ENSG00000090861.17","chr16",70251983,70289707,37725,"-","protein_coding","AARS1",1,"ENSG00000090861.17","chr16",70251983,70289707,37725,"-","protein_coding","AARS1",0,"AARS1_chr16_70251983_70289707_-_ENSG00000090861.17_ENSG00000090861.17.unspliced",0.445953200327676,79.4093519278097
"ENSG00000090861.17","chr16",70251983,70289707,37725,"-","protein_coding","AARS1",0.317151031376952,"ENSG00000261777.7","chr16",70315442,70346814,31373,"-","lncRNA","DDX19A-DT",-57107,"AARS1_chr16_70251983_70289707_-_ENSG00000090861.17_ENSG00000090861.17.unspliced",0.445953200327676,79.4093519278097
"ENSG00000090861.17","chr16",70251983,70289707,37725,"-","protein_coding","AARS1",-0.285037427011853,"ENSG00000285710.1","chr16",70349085,70372166,23082,"-","lncRNA","ENSG00000285710",-82459,"AARS1_chr16_70251983_70289707_-_ENSG00000090861.17_ENSG00000090861.17.unspliced",0.445953200327676,79.4093519278097
"ENSG00000090861.17","chr16",70251983,70289707,37725,"-","protein_coding","AARS1",-0.45872448106666,"ENSG00000157350.13","chr16",70375977,70439237,63261,"-","protein_coding","ST3GAL2",-149530,"AARS1_chr16_70251983_70289707_-_ENSG00000090861.17_ENSG00000090861.17.unspliced",0.445953200327676,79.4093519278097
"ENSG00000090861.17","chr16",70251983,70289707,37725,"-","protein_coding","AARS1",-0.376232603483181,"ENSG00000157353.17","chr16",70454595,70480274,25680,"+","protein_coding","FCSK",-190567,"AARS1_chr16_70251983_70289707_-_ENSG00000090861.17_ENSG00000090861.17.unspliced",0.445953200327676,79.4093519278097
"ENSG00000090861.17","chr16",70251983,70289707,37725,"-","protein_coding","AARS1",0.646503330454736,"ENSG00000189091.13","chr16",70523791,70577670,53880,"+","protein_coding","SF3B3",-287963,"AARS1_chr16_70251983_70289707_-_ENSG00000090861.17_ENSG00000090861.17.unspliced",0.445953200327676,79.4093519278097
"ENSG00000090861.17","chr16",70251983,70289707,37725,"-","protein_coding","AARS1",0.253107195801305,"ENSG00000132613.16","chr16",70661204,70686053,24850,"-","protein_coding","MTSS2",-396346,"AARS1_chr16_70251983_70289707_-_ENSG00000090861.17_ENSG00000090861.17.unspliced",0.445953200327676,79.4093519278097
