"qchunk","unsplice_lncRNA.bed","unsplice_other.bed","unsplice_protein_coding.bed"
"MALAT1chk1",0.164750957854406,1,0.978927203065134
"MALAT1chk2",0.5,1,1
"MALAT1chk3",0.5,1,1
"MALAT1chk4",0.999999999997826,0.996446718097819,6.84150018242456e-09
"MALAT1chk5",0.0280893275357501,0.999999953483682,0.999856030102299
"MALAT1chk6",0.984652140955853,0.941345632121541,0.029613089027088
"MALAT1chk7",0.5,1,1
"MALAT1chk8",0.5,0.5,1
"MALAT1chk9",0.5,1,1
"NEAT1chk1",0.857370058625259,0.168349244680284,0.283813566580578
"NEAT1chk2",0.5,0.5,1
"NEAT1chk3",0.5,1,1
"NEAT1chk4",0.999977129070099,0.992222825723872,0.0136813883934064
"NEAT1chk5",0.5,1,1
"NEAT1chk6",0.5,1,1
"NEAT1chk7",0.212530827568842,1,0.999999781568733
"NEAT1chk8",0.772727272727273,1,0.772727272727273
"NEAT1chk9",0.00451424130388469,1,1
"NEAT1chk10",1.46348452641168e-06,1,1
"NEAT1chk11",1.72253160086435e-36,1,1
"NEAT1chk12",0.680347824967535,0.776001026398375,0.570028954488192
"NEAT1chk13",0.5,1,1
"NEAT1chk14",0.5,1,1
"NEAT1chk15",2.20650402389128e-05,0.997118964230863,0.999999999641408
"NEAT1chk16",0.0227394555349037,0.999999999999993,0.99999991614107
"NEAT1chk18",0.5,1,1
"NEAT1chk19",0.5,1,1
"NEAT1chk20",0.5,1,1
"NEAT1chk21",0.5,0.5,1
"NEAT1chk22",0.971021775340212,0.0693748158407355,0.0115380396546861
"XISTint1",0.5,1,1
"XISTint2",0.5,1,1
"XISTint3",0.5,1,1
"XISTint4",0.162962962962963,1,1
"XISTint5",1,1,1
"XISTint6",0.274840243097175,1,0.938354502569267
"XISTint7",0.166666666666667,1,1
"XISTint8",0.5,1,1
"XISTint10",0.5,1,1
"XISTint11",1.87421871394358e-21,1,1
"XISTint12",9.16728451184759e-27,1,1
"XISTint13",0.00184079024689402,0.999990121475351,0.999999999999734
"XISTint14",2.52222749404494e-06,1,1
"XISTrA",0.5,1,1
"XISTrB1",0.998753835681701,0.277177580238211,0.00152099578271293
"XISTrB2",0.834599899833029,0.183812588670888,0.139770252474246
"XISTrD",0.5,1,1
"XISTrE",0.444795208663797,0.813935137694311,0.673746282256305
"XISTrF",0.5,1,1
