"qchunk","unsplice_lncRNA_adjp","unsplice_other_adjp","unsplice_protein_coding_adjp"
"MALAT1chk1",5.10499773100488e-06,1,1
"MALAT1chk2",0.708333333333334,1,1
"MALAT1chk3",1,1,1
"MALAT1chk4",1,1,0.000222685736050682
"MALAT1chk5",0.00399284612521726,1,1
"MALAT1chk6",1,1,0.735518721188568
"MALAT1chk7",0.708333333333334,1,1
"MALAT1chk8",0.708333333333334,1,1
"MALAT1chk9",1,1,5.38452782611746e-15
"NEAT1chk1",1,0.716893026730147,3.36323148185365e-06
"NEAT1chk2",0.708333333333334,1,1
"NEAT1chk3",0.708333333333334,1,1
"NEAT1chk4",0.708333333333334,1,1
"NEAT1chk5",1,1,0.116916344606508
"NEAT1chk6",0.708333333333334,1,1
"NEAT1chk7",0.000101628512060447,1,1
"NEAT1chk8",0.708333333333334,1,1
"NEAT1chk9",4.08439488996296e-11,1,1
"NEAT1chk10",7.87043083961361e-12,1,1
"NEAT1chk11",3.12139288232917e-31,1,1
"NEAT1chk12",0.107006577734841,1,1
"NEAT1chk13",0.708333333333334,1,1
"NEAT1chk14",0.708333333333334,1,1
"NEAT1chk15",2.10525791626951e-12,1,1
"NEAT1chk16",2.0841789210912e-10,1,1
"NEAT1chk17",1,1,2.49599541851272e-69
"NEAT1chk18",1,1,1.65355212163055e-36
"NEAT1chk19",0.708333333333334,1,1
"NEAT1chk20",1,1,6.75907887509231e-05
"NEAT1chk21",0.708333333333334,1,1
"NEAT1chk22",1,1,1
"XISTint1",0.708333333333334,1,1
"XISTint2",1,1,0.0753207223352083
"XISTint3",0.605914031471164,1,1
"XISTint4",0.922535098210774,1,1
"XISTint5",0.708333333333334,1,1
"XISTint6",0.708333333333334,1,1
"XISTint7",0.118623481781376,1,1
"XISTint8",0.605914031471164,1,1
"XISTint9",0.159375,1,1
"XISTint10",0.708333333333334,1,1
"XISTint11",9.2587818377482e-14,1,1
"XISTint12",5.76429288598405e-35,1,1
"XISTint13",0.0114449186265529,1,1
"XISTint14",0.0380259038169278,1,1
"XISTrA",1,1,0.782161340656738
"XISTrB1",1,1,0.00177290213178191
"XISTrB2",1,1,0.0142124136653722
"XISTrD",0.605914031471164,1,1
"XISTrE",0.00639445641484385,1,1
"XISTrF",0.708333333333334,1,1
