"qchunk","unsplice_lncRNA_adjp","unsplice_other_adjp","unsplice_protein_coding_adjp"
"MALAT1chk1",2.19902625798736e-14,1,1
"MALAT1chk2",1,1,8.91331381714098e-06
"MALAT1chk3",1,1,1.1291905615674e-41
"MALAT1chk4",1,1,1
"MALAT1chk5",4.45943567431203e-51,1,1
"MALAT1chk6",1,1,0.00293200279656496
"MALAT1chk7",1,1,2.12109371206334e-06
"MALAT1chk8",0.876614591109654,1,1
"MALAT1chk9",1,1,1.15412144899352e-57
"NEAT1chk1",1,2.31700596116523e-21,1.99954524811432e-42
"NEAT1chk2",0.930355880558157,0.937947219064788,1
"NEAT1chk3",1,1,2.3345749959099e-11
"NEAT1chk4",0.876614591109654,1,1
"NEAT1chk5",1,1,0.0004951957947085
"NEAT1chk6",0.876614591109654,1,1
"NEAT1chk7",0.00212286568603681,1,1
"NEAT1chk8",1,1,0.0884496533609896
"NEAT1chk9",8.05791014955958e-05,1,1
"NEAT1chk10",2.8731068064396e-11,1,1
"NEAT1chk11",5.43597973537852e-30,1,1
"NEAT1chk12",1,1,1
"NEAT1chk13",3.32756267346601e-07,1,1
"NEAT1chk14",1,1,0.00487198379304949
"NEAT1chk15",3.04306362520002e-12,1,1
"NEAT1chk16",0.876614591109654,1,1
"NEAT1chk17",1,1,7.61701706271154e-90
"NEAT1chk18",1,1,3.74011663019327e-54
"NEAT1chk19",1,1,0.653794359300434
"NEAT1chk20",1,1,1.71195057329141e-42
"NEAT1chk21",1,7.58261292444337e-06,3.24092596080869e-26
"NEAT1chk22",1,1.26791009149803e-12,1.30312913608904e-22
"XISTint1",1,1,0.965394836120253
"XISTint2",1,1,1.59490088584259e-06
"XISTint3",1,1,8.55261125315787e-14
"XISTint4",2.8731068064396e-11,1,1
"XISTint5",3.35261748254649e-06,1,1
"XISTint6",1.11066811390868e-10,1,1
"XISTint7",0.00223772837594235,1,1
"XISTint8",3.92621433434183e-14,1,1
"XISTint9",0.848370096172697,1,1
"XISTint10",0.481035005387814,1,1
"XISTint11",2.29918131940847e-50,1,1
"XISTint12",1.72925094880156e-103,1,1
"XISTint13",4.66983129418511e-31,1,1
"XISTint14",9.24059328387285e-21,1,1
"XISTrA",1,1,0.00950665742347878
"XISTrB1",1,1,3.11580928093219e-05
"XISTrB2",1,0.224875622889952,5.93120141048845e-06
"XISTrD",0.54838023622598,1,1
"XISTrE",0.275848532844774,1,1
"XISTrF",1,1,0.48304965307872
