file,qT,nT,knum,total_n,r_median,r_std,len_median,len_std,top50_r_median,top50_r_std,top50_len_median,top50_len_std
ASAR6-141chk1,0.99,0.9,6,247350,0.07657234,0.060589407,454,407.5861753,0.27560422,0.010399289,2034.5,1060.123444
ASAR6-141chk2,0.99,0.9,6,244503,0.08202716,0.069348186,478,446.3553893,0.28417295,0.007583794,2737,840.4593258
ASAR6-141chk3,0.99,0.9,6,248898,0.08763121,0.059330896,414,341.0462632,0.25769335,0.007182002,2307,658.4944355
ASAR6-141chk4,0.99,0.9,6,244168,0.090537,0.07720559,477,446.0088755,0.31387088,0.007630818,2682.5,722.9219809
ASAR6-141chk5,0.99,0.9,6,256884,0.07658288,0.061285727,499,459.8435928,0.251126,0.017573936,2463.5,939.9787498
Blustr-5ss,0.9,0.9,6,79826,0.043291338,0.030156488,84,66.277758,0.21739447,0.018620832,62.5,58.81619165
e-Ccnd1,0.96,0.9,6,320988,0.01415652,0.029404094,241,221.589022,0.1501723,0.010073813,208.5,170.928832
e-ID1,0.99,0.93,6,207769,0.013952047,0.038763665,328,310.1511852,0.17328265,0.008371046,427.5,374.374427
e-Klf6,0.93,0.9,6,111500,0.05335384,0.021686377,151,96.67348378,0.1426615,0.0074698,119.5,38.25077254
e-Med13l,0.9,0.93,6,31351,0.07265959,0.040896714,53,50.30907066,0.26826644,0.014048807,30,6.559298743
e-Sp3,0.96,0.9,6,254865,0.029666252,0.026063785,254,203.2640897,0.14332567,0.009969044,182.5,247.1333114
e-YY1,0.99,0.96,6,51240,0.064048424,0.037676733,214,202.1100948,0.20045204,0.008611918,766,415.1278762
FIRRE-RRD,0.9,0.9,6,124015,0.05034177,0.032534275,65,65.90422091,0.23348574,0.08225769,30.5,48.75370345
HOTTIP-MLL,0.99,0.9,6,194357,0.029798929,0.03720443,343,246.7802219,0.1726082,0.006916766,1395,861.1556535
HSat3_antisense,0.93,0.93,6,518,0.19449255,0.09560729,28,13.406440118955464,0.42338645,0.021940961,42,24.00684069
HSat3_sense,0.9,0.9,6,454,0.18393782,0.100591265,28,11.51812641,0.42609465,0.01946003,38,16.30847632
JPX-9,0.9,0.96,6,10914,0.28076783,0.19358926,60,39.56468217,0.6060533,0.067230366,102,15.59507615
MALAT1chk1,0.99,0.9,6,214256,0.050986245,0.05482695,607,655.4019284,0.2323718,0.04368357,1857,1349.730479
MALAT1chk2,0.99,0.93,6,114819,0.055065155,0.03382937,332,232.8118715,0.16106391,0.076851696,347.5,364.2174235
MALAT1chk3,0.99,0.9,6,245170,0.056770694,0.037521325,486,462.8838121,0.18116821,0.07914209,1663,967.2305001
MALAT1chk4,0.99,0.9,6,242404,0.07110218,0.056149572,527,523.8793386,0.2471253,0.05153733,2592.5,828.4631992
MALAT1chk5,0.99,0.9,6,236361,0.060477115,0.05341024,537,534.3794644,0.21346252,0.079620235,2635,1069.940001
MALAT1chk6,0.99,0.9,6,243694,0.06075178,0.043964505,505,482.6854929,0.19514763,0.09545493,2243.5,799.880257
MALAT1chk7,0.99,0.93,6,143338,0.051485486,0.03169472,352,250.3269858,0.148397,0.12605447,489.5,347.7484039
MALAT1chk8,0.99,0.93,6,114787,0.05453831,0.031161016,319,211.0743177,0.14949973,0.16414967,303.5,250.9131324
MALAT1chk9,0.99,0.96,6,32011,0.08929354,0.06266144,278,155.6185375,0.23787062,0.105965905,268,149.5784156
MALAT1E,0.99,0.93,6,106225,0.06692264,0.033627998,312,200.8644147,0.17097238,0.105167866,410,294.167574
MALAT1M,0.99,0.9,6,238047,0.050593432,0.035846006,518,506.5896059200275,0.1680497,0.08867666,2196.5,1185.8136710293065
MEG3-NRE,0.9,0.9,6,64196,0.04433716,0.028602708,93,65.20509172,0.18472952,0.01070545,71.5,33.3525951
ncRNA-a7,0.96,0.9,6,241999,0.018158149,0.024649257,277,208.421426,0.123879105,0.005459284,264.5,228.9537211
NEAT1chk1,0.99,0.9,6,225117,0.003166545,0.05378068,556,554.9586981,0.2480456,0.07786897,2334.5,1128.301108
NEAT1chk10,0.99,0.9,6,234731,0.09525509,0.074326396,528,533.6146661,0.34536353,0.0494357,2964,957.3615704
NEAT1chk11,0.99,0.9,6,236725,0.08102688,0.06731501,543,576.4020861,0.30284816,0.0421867,3970.5,1209.75743
NEAT1chk12,0.99,0.9,6,241871,0.0640765,0.041601308,485,453.0818223,0.2125721,0.096255444,2447,1061.346847
NEAT1chk13,0.99,0.9,6,241709,0.05423145,0.034948774,473,432.9124736,0.17065758,0.08155132,1552.5,1101.846273
NEAT1chk14,0.99,0.93,6,119367,0.044735134,0.024940873,325,211.7873683,0.13360357,0.11114743,333,260.3672399
NEAT1chk15,0.99,0.9,6,249816,0.06829114,0.0525388,468,429.6478127,0.24606219,0.07253378,1564.5,765.7557323
NEAT1chk16,0.99,0.9,6,248088,0.083761185,0.05231328,407,329.0773678,0.27427435,0.08940307,2083,763.6205626
NEAT1chk17,0.96,0.96,6,24393,0.1949421,0.056716476,238,83.50832713400817,0.28494257,0.09612509,244.5,171.06998450926451
NEAT1chk18,0.99,0.99,6,20821,0.19195573,0.05138936,261,99.25849009,0.27948588,0.09556405,265.5,146.2457439
NEAT1chk19,0.99,0.93,6,125494,0.052118678,0.027520336,327,218.0433597,0.15290537,0.11828383,303.5,239.4274579
NEAT1chk2,0.96,0.9,6,109746,0.043378703,0.023302212,283,148.7761737,0.13463634,0.11322155,278,234.3834883
NEAT1chk20,0.96,0.93,6,37407,0.11059126,0.063010685,262,107.000932,0.24684806,0.104512304,276,133.2249361
NEAT1chk21,0.99,0.9,6,237352,0.016189873,0.036722366,475,438.7383624,0.16718951,0.08706773,1443,678.4415718
NEAT1chk22,0.99,0.9,6,239172,-0.004901777,0.04504181,499,462.6782445,0.18758118,0.1084748,1906.5,1068.818156
NEAT1chk3,0.99,0.93,6,107721,0.05714135,0.031072935,315,208.5213212,0.16368233,0.09496451,465,306.2804754
