"seqName","NEAT1chk1_tuc0.01","NEAT1chk1116_tuc0.01","NEAT1chk22_tuc0.01","NEAT1chk910_tuc0.01","gene_type"
"AARS1_chr16_70251983_70289707_-_ENSG00000090861.17_ENSG00000090861.17.unspliced",1532,2992,2408,1629,"protein_coding"
"ABCA3_chr16_2275881_2340746_-_ENSG00000167972.14_ENSG00000167972.14.unspliced",6669,3949,12423,3510,"protein_coding"
"ABCB10_chr1_229516582_229558707_-_ENSG00000135776.5_ENSG00000135776.5.unspliced",665,12211,1431,11638,"protein_coding"
"ABCB6_chr2_219209772_219218994_-_ENSG00000115657.14_ENSG00000115657.14.unspliced",1096,1180,2678,505,"protein_coding"
"ABCF3_chr3_184186095_184194012_+_ENSG00000161204.12_ENSG00000161204.12.unspliced",1493,1580,312,1534,"protein_coding"
"ABHD2_chr15_89087459_89202355_+_ENSG00000140526.18_ENSG00000140526.18.unspliced",902,33999,1413,27217,"protein_coding"
"ABL1_chr9_130713043_130887675_+_ENSG00000097007.20_ENSG00000097007.20.unspliced",1631,61439,1673,44576,"protein_coding"
"ABO_chr9_133233278_133276024_-_ENSG00000175164.16_ENSG00000175164.16.unspliced",6754,7958,7904,8254,"protein_coding"
"ACAA1_chr3_38103129_38137242_-_ENSG00000060971.19_ENSG00000060971.19.unspliced",2625,3526,13259,3795,"protein_coding"
"ACBD6_chr1_180269653_180502954_-_ENSG00000230124.8_ENSG00000230124.8.unspliced",1233,156519,2635,144796,"protein_coding"
"ACCS_chr11_44065925_44084237_+_ENSG00000110455.14_ENSG00000110455.14.unspliced",335,1549,1942,566,"protein_coding"
"ACO2_chr22_41447830_41529273_+_ENSG00000100412.17_ENSG00000100412.17.unspliced",3399,7721,9607,1983,"protein_coding"
"ACSL4_chrX_109624244_109733403_-_ENSG00000068366.21_ENSG00000068366.21.unspliced",2556,76817,1558,63752,"protein_coding"
"ACTN4_chr19_38647649_38731589_+_ENSG00000130402.14_ENSG00000130402.14.unspliced",7428,1794,21615,1333,"protein_coding"
"ACTR2_chr2_65227788_65271253_+_ENSG00000138071.15_ENSG00000138071.15.unspliced",493,26854,245,22900,"protein_coding"
"ACTR3B_chr7_152759749_152855378_+_ENSG00000133627.18_ENSG00000133627.18.unspliced",4211,46868,4660,38626,"protein_coding"
"ACTR5_chr20_38748460_38772520_+_ENSG00000101442.10_ENSG00000101442.10.unspliced",900,8061,836,6108,"protein_coding"
"ACVR2B_chr3_38453890_38493142_+_ENSG00000114739.14_ENSG00000114739.14.unspliced",4252,9355,6727,7556,"protein_coding"
"ADAMTS14_chr10_70672506_70762441_+_ENSG00000138316.11_ENSG00000138316.11.unspliced",6392,4266,24834,3362,"protein_coding"
"ADCY7_chr16_50246137_50318135_+_ENSG00000121281.13_ENSG00000121281.13.unspliced",14825,6302,33537,4785,"protein_coding"
"ADK_chr10_74151202_74709963_+_ENSG00000156110.15_ENSG00000156110.15.unspliced",1046,388191,1116,354283,"protein_coding"
"ADNP2_chr18_80109262_80147523_+_ENSG00000101544.9_ENSG00000101544.9.unspliced",929,27131,244,21906,"protein_coding"
"AFDN_chr6_167826893_167972023_+_ENSG00000130396.22_ENSG00000130396.22.unspliced",806,103657,1146,94077,"protein_coding"
"AFG3L1P_chr16_89972581_90002161_+_ENSG00000293510.2_ENSG00000293510.2.unspliced",2041,1416,3752,1509,"lncRNA"
"AFG3L2_chr18_12328944_12377227_-_ENSG00000141385.12_ENSG00000141385.12.unspliced",632,18053,1943,11764,"protein_coding"
"AGAP3_chr7_151085831_151144436_+_ENSG00000133612.20_ENSG00000133612.20.unspliced",14616,1576,22884,431,"protein_coding"
"AGO2_chr8_140520156_140635633_-_ENSG00000123908.12_ENSG00000123908.12.unspliced",11682,11704,23981,9419,"protein_coding"
"AGPAT1_chr6_32168212_32178096_-_ENSG00000204310.13_ENSG00000204310.13.unspliced",965,3145,335,1991,"protein_coding"
"AGPAT3_chr21_43865223_43987592_+_ENSG00000160216.21_ENSG00000160216.21.unspliced",14119,17005,28336,13949,"protein_coding"
"AGPS_chr2_177392746_177567024_+_ENSG00000018510.18_ENSG00000018510.18.unspliced",1144,136560,1668,121880,"protein_coding"
"AKAP1_chr17_57085092_57121346_+_ENSG00000121057.13_ENSG00000121057.13.unspliced",2522,2316,2992,3100,"protein_coding"
"AKAP8L_chr19_15380050_15419141_-_ENSG00000011243.19_ENSG00000011243.19.unspliced",3205,9680,5576,5429,"protein_coding"
"AKAP8_chr19_15353385_15379815_-_ENSG00000105127.10_ENSG00000105127.10.unspliced",6309,1122,6150,711,"protein_coding"
"AKT2_chr19_40230317_40285536_-_ENSG00000105221.18_ENSG00000105221.18.unspliced",9933,7357,17512,3523,"protein_coding"
"ALKBH5_chr17_18183078_18209954_+_ENSG00000091542.9_ENSG00000091542.9.unspliced",1318,2549,418,1383,"protein_coding"
"AMFR_chr16_56361452_56425545_-_ENSG00000159461.15_ENSG00000159461.15.unspliced",936,37423,1224,29431,"protein_coding"
"ANAPC7_chr12_110372900_110403730_-_ENSG00000196510.14_ENSG00000196510.14.unspliced",722,6911,299,6347,"protein_coding"
"ANK1_chr8_41653220_41896741_-_ENSG00000029534.22_ENSG00000029534.22.unspliced",16240,18708,23004,16392,"protein_coding"
"ANKLE2_chr12_132725503_132761832_-_ENSG00000176915.15_ENSG00000176915.15.unspliced",1787,2380,2086,3085,"protein_coding"
"ANKMY1_chr2_240479422_240569209_-_ENSG00000144504.16_ENSG00000144504.16.unspliced",11575,18415,21337,13798,"protein_coding"
"ANKRD11_chr16_89267619_89490561_-_ENSG00000167522.18_ENSG00000167522.18.unspliced",14024,22506,32983,20896,"protein_coding"
"ANKRD13D_chr11_67289300_67302485_+_ENSG00000172932.16_ENSG00000172932.16.unspliced",3351,5840,5516,4656,"protein_coding"
"ANKRD17_chr4_73073376_73258798_-_ENSG00000132466.20_ENSG00000132466.20.unspliced",1270,149025,960,138627,"protein_coding"
"ANKRD23_chr2_96824526_96857934_-_ENSG00000163126.15_ENSG00000163126.15.unspliced",3357,3088,6294,761,"protein_coding"
"ANKRD27_chr19_32597006_32676597_-_ENSG00000105186.16_ENSG00000105186.16.unspliced",4635,7851,4202,7016,"protein_coding"
"ANKRD36_chr2_97113153_97264521_+_ENSG00000135976.21_ENSG00000135976.21.unspliced",1052,117155,1289,115242,"protein_coding"
"ANKS3_chr16_4696510_4734378_-_ENSG00000168096.15_ENSG00000168096.15.unspliced",3834,7941,3747,5535,"protein_coding"
"ANKS6_chr9_98731329_98796965_-_ENSG00000165138.18_ENSG00000165138.18.unspliced",3530,13911,6371,12742,"protein_coding"
"ANP32A_chr15_68778535_68820897_-_ENSG00000140350.15_ENSG00000140350.15.unspliced",3280,5562,2794,2402,"protein_coding"
"ANXA11_chr10_80150889_80205572_-_ENSG00000122359.18_ENSG00000122359.18.unspliced",4067,7736,10517,6064,"protein_coding"
"AP1B1_chr22_29327680_29388583_-_ENSG00000100280.17_ENSG00000100280.17.unspliced",3903,4367,12218,3198,"protein_coding"
"AP3D1_chr19_2100988_2164468_-_ENSG00000065000.20_ENSG00000065000.20.unspliced",13170,1646,21674,744,"protein_coding"
"AP3M1_chr10_74120255_74150842_-_ENSG00000185009.13_ENSG00000185009.13.unspliced",572,12486,334,11602,"protein_coding"
"APBB3_chr5_140558268_140564781_-_ENSG00000113108.20_ENSG00000113108.20.unspliced",985,1162,1693,242,"protein_coding"
"APLP2_chr11_130068147_130144811_+_ENSG00000084234.18_ENSG00000084234.18.unspliced",2270,34436,408,27782,"protein_coding"
"ARAF_chrX_47561205_47571908_+_ENSG00000078061.14_ENSG00000078061.14.unspliced",1064,3568,1533,2694,"protein_coding"
